Player Number,Player  ,Team Name,GM  ,KI  ,MK  ,HB  ,DI  ,DA  ,GL  ,,,,,,,,,,,,,,,,,,,
16,Bonar  Aiden,North Melbourne,2,7,7,17,24,12,,,,,,,,,,,,,,,,,,,,
42,Dawson  Kallan,North Melbourne,1,6,3,3,9,9,,,,,,,,,,,,,,,,,,,,
46,Hansen  Robert,North Melbourne,2,4,1,4,8,4,,,,,,,,,,,,,,,,,,,,
9,Butters  Zak,Port Adelaide,25,361,126,326,687,27.48,13,,,,,,,,,,,,,,,,,,,
20,Rozee  Connor,Port Adelaide,25,390,117,254,644,25.76,21,,,,,,,,,,,,,,,,,,,
5,Houston  Dan,Port Adelaide,25,389,143,195,584,23.36,9,,,,,,,,,,,,,,,,,,,
16,Wines  Ollie,Port Adelaide,25,201,84,342,543,21.72,6,,,,,,,,,,,,,,,,,,,
28,Drew  Willem,Port Adelaide,25,203,62,231,434,17.36,5,,,,,,,,,,,,,,,,,,,
18,Horne-Francis  Jason,Port Adelaide,24,268,78,154,422,17.58,16,,,,,,,,,,,,,,,,,,,
6,Farrell  Kane,Port Adelaide,22,281,82,79,360,16.36,2,,,,,,,,,,,,,,,,,,,
2,Powell-Pepper  Sam,Port Adelaide,25,202,64,141,343,13.72,31,,,,,,,,,,,,,,,,,,,
3,Burton  Ryan,Port Adelaide,22,278,80,58,336,15.27,8,,,,,,,,,,,,,,,,,,,
10,Boak  Travis,Port Adelaide,21,173,60,162,335,15.95,7,,,,,,,,,,,,,,,,,,,
14,Bergman  Miles,Port Adelaide,24,225,115,106,331,13.79,3,,,,,,,,,,,,,,,,,,,
23,Williams  Dylan,Port Adelaide,21,247,101,65,312,14.86,,,,,,,,,,,,,,,,,,,,
33,Byrne-Jones  Darcy,Port Adelaide,23,192,68,100,292,12.7,18,,,,,,,,,,,,,,,,,,,
21,Aliir  Aliir,Port Adelaide,24,202,121,81,283,11.79,,,,,,,,,,,,,,,,,,,,
11,Finlayson  Jeremy,Port Adelaide,22,207,102,72,279,12.68,38,,,,,,,,,,,,,,,,,,,
7,Duursma  Xavier,Port Adelaide,16,146,67,99,245,15.31,6,,,,,,,,,,,,,,,,,,,
41,McEntee  Jed,Port Adelaide,22,99,48,108,207,9.41,14,,,,,,,,,,,,,,,,,,,
15,Rioli  Willie,Port Adelaide,19,136,52,69,205,10.79,31,,,,,,,,,,,,,,,,,,,
4,Marshall  Todd,Port Adelaide,21,155,103,41,196,9.33,36,,,,,,,,,,,,,,,,,,,
12,McKenzie  Trent,Port Adelaide,19,147,74,28,175,9.21,,,,,,,,,,,,,,,,,,,,
22,Dixon  Charlie,Port Adelaide,14,105,67,67,172,12.29,23,,,,,,,,,,,,,,,,,,,
34,Jones  Lachie,Port Adelaide,15,94,45,66,160,10.67,4,,,,,,,,,,,,,,,,,,,
29,Lycett  Scott,Port Adelaide,14,49,14,100,149,10.64,,,,,,,,,,,,,,,,,,,,
26,Bonner  Riley,Port Adelaide,11,100,37,42,142,12.91,2,,,,,,,,,,,,,,,,,,,
1,Jonas  Tom,Port Adelaide,13,63,44,36,99,7.62,1,,,,,,,,,,,,,,,,,,,
30,Lord  Ollie,Port Adelaide,13,47,31,48,95,7.31,15,,,,,,,,,,,,,,,,,,,
31,Evans  Francis,Port Adelaide,10,51,20,24,75,7.5,10,,,,,,,,,,,,,,,,,,,
44,Mead  Jackson,Port Adelaide,7,32,12,20,52,7.43,2,,,,,,,,,,,,,,,,,,,
36,Burgoyne  Jase,Port Adelaide,5,27,13,17,44,8.8,,,,,,,,,,,,,,,,,,,,
27,Teakle  Brynn,Port Adelaide,4,16,5,25,41,10.25,1,,,,,,,,,,,,,,,,,,,
25,Hayes  Sam,Port Adelaide,4,13,6,22,35,8.75,,,,,,,,,,,,,,,,,,,,
47,Narkle  Quinton,Port Adelaide,3,18,7,14,32,10.67,4,,,,,,,,,,,,,,,,,,,
19,Georgiades  Mitch,Port Adelaide,2,18,12,9,27,13.5,2,,,,,,,,,,,,,,,,,,,
13,Fantasia  Orazio,Port Adelaide,3,13,5,10,23,7.67,2,,,,,,,,,,,,,,,,,,,
38,Visentini  Dante,Port Adelaide,3,10,2,12,22,7.33,,,,,,,,,,,,,,,,,,,,
8,Sinn  Josh,Port Adelaide,3,10,5,6,16,5.33,,,,,,,,,,,,,,,,,,,,
17,Clurey  Tom,Port Adelaide,1,2,1,1,3,3,,,,,,,,,,,,,,,,,,,,
14,Taranto  Tim,Richmond ,23,337,79,325,662,28.78,19,,,,,,,,,,,,,,,,,,,
29,Bolton  Shai,Richmond ,23,315,79,185,500,21.74,31,,,,,,,,,,,,,,,,,,,
17,Rioli  Daniel,Richmond ,23,272,97,204,476,20.7,4,,,,,,,,,,,,,,,,,,,
4,Martin  Dustin,Richmond ,20,280,94,192,472,23.6,25,,,,,,,,,,,,,,,,,,,
3,Prestia  Dion,Richmond ,20,211,63,228,439,21.95,8,,,,,,,,,,,,,,,,,,,
7,Baker  Liam,Richmond ,23,258,85,180,438,19.04,12,,,,,,,,,,,,,,,,,,,
1,Vlastuin  Nick,Richmond ,21,283,144,111,394,18.76,2,,,,,,,,,,,,,,,,,,,
15,Short  Jayden,Richmond ,16,279,100,77,356,22.25,7,,,,,,,,,,,,,,,,,,,
5,Ross  Jack,Richmond ,19,185,100,161,346,18.21,8,,,,,,,,,,,,,,,,,,,
22,Hopper  Jacob,Richmond ,16,162,55,180,342,21.38,7,,,,,,,,,,,,,,,,,,,
21,Balta  Noah,Richmond ,23,271,147,68,339,14.74,3,,,,,,,,,,,,,,,,,,,
33,McIntosh  Kamdyn,Richmond ,22,223,93,94,317,14.41,6,,,,,,,,,,,,,,,,,,,
9,Cotchin  Trent,Richmond ,19,161,53,150,311,16.37,7,,,,,,,,,,,,,,,,,,,
35,Broad  Nathan,Richmond ,19,192,101,113,305,16.05,2,,,,,,,,,,,,,,,,,,,
34,Graham  Jack,Richmond ,20,147,45,156,303,15.15,9,,,,,,,,,,,,,,,,,,,
50,Pickett  Marlion,Richmond ,21,130,54,142,272,12.95,8,,,,,,,,,,,,,,,,,,,
25,Nankervis  Toby,Richmond ,15,130,37,121,251,16.73,3,,,,,,,,,,,,,,,,,,,
2,Grimes  Dylan,Richmond ,22,121,52,77,198,9,,,,,,,,,,,,,,,,,,,,
8,Riewoldt  Jack,Richmond ,21,139,94,49,188,8.95,32,,,,,,,,,,,,,,,,,,,
45,Young  Tylar,Richmond ,19,129,55,48,177,9.32,,,,,,,,,,,,,,,,,,,,
13,Ralphsmith  Hugo,Richmond ,13,77,43,66,143,11,1,,,,,,,,,,,,,,,,,,,
31,Mansell  Rhyan,Richmond ,17,94,40,38,132,7.76,10,,,,,,,,,,,,,,,,,,,
42,Clarke  Judson,Richmond ,13,68,26,47,115,8.85,11,,,,,,,,,,,,,,,,,,,
32,Ryan  Samson,Richmond ,14,66,40,33,99,7.07,12,,,,,,,,,,,,,,,,,,,
46,Miller  Ben,Richmond ,13,49,31,46,95,7.31,6,,,,,,,,,,,,,,,,,,,
41,Banks  Sam,Richmond ,6,55,17,27,82,13.67,1,,,,,,,,,,,,,,,,,,,
20,Soldo  Ivan,Richmond ,8,47,31,31,78,9.75,7,,,,,,,,,,,,,,,,,,,
38,Cumberland  Noah,Richmond ,9,49,23,23,72,8,8,,,,,,,,,,,,,,,,,,,
27,Dow  Thomson,Richmond ,4,27,10,43,70,17.5,,,,,,,,,,,,,,,,,,,,
10,Rioli  Maurice,Richmond ,10,40,14,22,62,6.2,2,,,,,,,,,,,,,,,,,,,
19,Lynch  Tom,Richmond ,4,26,18,8,34,8.5,9,,,,,,,,,,,,,,,,,,,
40,Sonsie  Tyler,Richmond ,3,16,4,18,34,11.33,,,,,,,,,,,,,,,,,,,,
26,Coulthard  Matthew,Richmond ,4,18,7,11,29,7.25,1,,,,,,,,,,,,,,,,,,,
43,Bauer  Jacob,Richmond ,4,14,8,4,18,4.5,4,,,,,,,,,,,,,,,,,,,
36,Trezise  James,Richmond ,1,13,3,4,17,17,,,,,,,,,,,,,,,,,,,,
30,Brown  Tom,Richmond ,1,12,6,4,16,16,,,,,,,,,,,,,,,,,,,,
35,Sinclair  Jack,St Kilda,24,470,119,223,693,28.88,6,,,,,,,,,,,,,,,,,,,
5,Crouch  Brad,St Kilda,24,292,90,359,651,27.13,8,,,,,,,,,,,,,,,,,,,
7,Wanganeen-Milera  Nasiah,St Kilda,24,419,150,144,563,23.46,4,,,,,,,,,,,,,,,,,,,
32,Wood  Mason,St Kilda,24,332,161,180,512,21.33,15,,,,,,,,,,,,,,,,,,,
9,Steele  Jack,St Kilda,21,227,86,272,499,23.76,4,,,,,,,,,,,,,,,,,,,
19,Marshall  Rowan,St Kilda,24,314,126,179,493,20.54,8,,,,,,,,,,,,,,,,,,,
44,Wilkie  Callum,St Kilda,24,329,207,145,474,19.75,,,,,,,,,,,,,,,,,,,,
8,Hill  Bradley,St Kilda,22,271,103,184,455,20.68,6,,,,,,,,,,,,,,,,,,,
4,Gresham  Jade,St Kilda,23,229,87,175,404,17.57,21,,,,,,,,,,,,,,,,,,,
14,Stocker  Liam,St Kilda,23,239,145,153,392,17.04,,,,,,,,,,,,,,,,,,,,
11,Clark  Hunter,St Kilda,19,185,54,161,346,18.21,4,,,,,,,,,,,,,,,,,,,
10,Owens  Mitch,St Kilda,23,187,83,159,346,15.04,26,,,,,,,,,,,,,,,,,,,
13,Byrnes  Ryan,St Kilda,20,184,68,151,335,16.75,5,,,,,,,,,,,,,,,,,,,
26,Battle  Josh,St Kilda,23,216,146,112,328,14.26,1,,,,,,,,,,,,,,,,,,,
6,Ross  Sebastian,St Kilda,17,190,42,137,327,19.24,1,,,,,,,,,,,,,,,,,,,
25,Phillipou  Mattaes,St Kilda,24,124,69,180,304,12.67,13,,,,,,,,,,,,,,,,,,,
17,Windhager  Marcus,St Kilda,19,156,74,148,304,16,2,,,,,,,,,,,,,,,,,,,
22,Higgins  Jack,St Kilda,22,163,82,130,293,13.32,36,,,,,,,,,,,,,,,,,,,
16,Butler  Dan,St Kilda,24,176,49,83,259,10.79,33,,,,,,,,,,,,,,,,,,,
29,Webster  Jimmy,St Kilda,17,159,94,99,258,15.18,,,,,,,,,,,,,,,,,,,,
20,Howard  Dougal,St Kilda,18,150,99,81,231,12.83,,,,,,,,,,,,,,,,,,,,
33,Paton  Ben,St Kilda,12,92,53,70,162,13.5,,,,,,,,,,,,,,,,,,,,
47,Caminiti  Anthony,St Kilda,18,78,60,74,152,8.44,19,,,,,,,,,,,,,,,,,,,
43,Sharman  Cooper,St Kilda,16,97,57,49,146,9.13,15,,,,,,,,,,,,,,,,,,,
12,King  Max,St Kilda,11,73,48,30,103,9.36,28,,,,,,,,,,,,,,,,,,,
21,Cordy  Zaine,St Kilda,14,59,43,43,102,7.29,7,,,,,,,,,,,,,,,,,,,
28,Membrey  Tim,St Kilda,7,53,36,24,77,11,6,,,,,,,,,,,,,,,,,,,
3,Jones  Zak,St Kilda,4,26,9,34,60,15,,,,,,,,,,,,,,,,,,,,
23,Bytel  Jack,St Kilda,6,25,15,23,48,8,1,,,,,,,,,,,,,,,,,,,
15,Billings  Jack,St Kilda,3,22,13,23,45,15,1,,,,,,,,,,,,,,,,,,,
45,Peris  Jack,St Kilda,1,5,3,8,13,13,,,,,,,,,,,,,,,,,,,,
18,Hayes  Jack,St Kilda,1,2,4,6,8,8,1,,,,,,,,,,,,,,,,,,,
21,Gulden  Errol,Sydney ,24,464,126,179,643,26.79,22,,,,,,,,,,,,,,,,,,,
26,Parker  Luke,Sydney ,23,269,86,274,543,23.61,9,,,,,,,,,,,,,,,,,,,
44,Lloyd  Jake,Sydney ,23,372,138,163,535,23.26,3,,,,,,,,,,,,,,,,,,,
1,Warner  Chad,Sydney ,21,309,65,209,518,24.67,15,,,,,,,,,,,,,,,,,,,
22,Blakey  Nick,Sydney ,24,318,98,175,493,20.54,2,,,,,,,,,,,,,,,,,,,
13,Florent  Oliver,Sydney ,24,272,95,205,477,19.88,5,,,,,,,,,,,,,,,,,,,
8,Rowbottom  James,Sydney ,24,238,27,192,430,17.92,6,,,,,,,,,,,,,,,,,,,
14,Mills  Callum,Sydney ,20,207,95,196,403,20.15,7,,,,,,,,,,,,,,,,,,,
16,Campbell  Braeden,Sydney ,23,238,99,123,361,15.7,8,,,,,,,,,,,,,,,,,,,
5,Heeney  Isaac,Sydney ,23,214,110,143,357,15.52,30,,,,,,,,,,,,,,,,,,,
11,Papley  Tom,Sydney ,23,254,74,90,344,14.96,37,,,,,,,,,,,,,,,,,,,
27,McInerney  Justin,Sydney ,19,183,87,142,325,17.11,13,,,,,,,,,,,,,,,,,,,
7,Cunningham  Harry,Sydney ,24,171,85,148,319,13.29,3,,,,,,,,,,,,,,,,,,,
42,Fox  Robbie,Sydney ,20,152,61,151,303,15.15,2,,,,,,,,,,,,,,,,,,,
2,McLean  Hayden,Sydney ,22,150,97,121,271,12.32,21,,,,,,,,,,,,,,,,,,,
9,Hayward  Will,Sydney ,23,177,99,92,269,11.7,25,,,,,,,,,,,,,,,,,,,
24,Rampe  Dane,Sydney ,15,140,62,93,233,15.53,,,,,,,,,,,,,,,,,,,,
6,McDonald  Logan,Sydney ,20,131,84,63,194,9.7,32,,,,,,,,,,,,,,,,,,,
30,McCartin  Tom,Sydney ,15,89,60,100,189,12.6,,,,,,,,,,,,,,,,,,,,
3,Stephens  Dylan,Sydney ,13,113,37,63,176,13.54,3,,,,,,,,,,,,,,,,,,,
31,Hickey  Tom,Sydney ,12,62,26,84,146,12.17,,,,,,,,,,,,,,,,,,,,
10,Francis  Aaron,Sydney ,15,88,61,53,141,9.4,1,,,,,,,,,,,,,,,,,,,
19,Ladhams  Peter,Sydney ,9,75,29,62,137,15.22,4,,,,,,,,,,,,,,,,,,,
4,Clarke  Ryan,Sydney ,16,51,24,72,123,7.69,5,,,,,,,,,,,,,,,,,,,
23,Franklin  Lance,Sydney ,13,84,53,38,122,9.38,19,,,,,,,,,,,,,,,,,,,
36,Amartey  Joel,Sydney ,15,78,58,39,117,7.8,20,,,,,,,,,,,,,,,,,,,
15,Wicks  Sam,Sydney ,11,65,19,52,117,10.64,10,,,,,,,,,,,,,,,,,,,
29,Sheldrick  Angus,Sydney ,7,49,19,58,107,15.29,3,,,,,,,,,,,,,,,,,,,
43,Melican  Lewis,Sydney ,8,47,19,33,80,10,,,,,,,,,,,,,,,,,,,,
34,Roberts  Matt,Sydney ,6,28,12,13,41,6.83,1,,,,,,,,,,,,,,,,,,,
39,McCartin  Paddy,Sydney ,4,30,15,9,39,9.75,,,,,,,,,,,,,,,,,,,,
17,Gould  Will,Sydney ,4,17,9,9,26,6.5,,,,,,,,,,,,,,,,,,,,
46,McAndrew  Lachlan,Sydney ,2,4,2,8,12,6,,,,,,,,,,,,,,,,,,,,
37,Warner  Corey,Sydney ,3,6,3,6,12,4,1,,,,,,,,,,,,,,,,,,,
33,Sheather  Marc,Sydney ,3,5,2,6,11,3.67,1,,,,,,,,,,,,,,,,,,,
47,Buller  Jack,Sydney ,1,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,
11,Kelly  Tim,West Coast,22,288,75,333,621,28.23,10,,,,,,,,,,,,,,,,,,,
14,Duggan  Liam,West Coast,22,365,167,159,524,23.82,1,,,,,,,,,,,,,,,,,,,
3,Gaff  Andrew,West Coast,23,210,90,250,460,20,3,,,,,,,,,,,,,,,,,,,
23,Witherden  Alex,West Coast,22,304,117,140,444,20.18,1,,,,,,,,,,,,,,,,,,,
5,Hunt  Jayden,West Coast,23,283,125,147,430,18.7,7,,,,,,,,,,,,,,,,,,,
4,Sheed  Dom,West Coast,15,184,84,182,366,24.4,5,,,,,,,,,,,,,,,,,,,
32,Williams  Bailey,West Coast,23,130,44,165,295,12.83,5,,,,,,,,,,,,,,,,,,,
25,Hurn  Shannon,West Coast,13,202,70,70,272,20.92,,,,,,,,,,,,,,,,,,,,
12,Allen  Oscar,West Coast,23,170,113,68,238,10.35,53,,,,,,,,,,,,,,,,,,,
7,Ginbey  Reuben,West Coast,17,86,25,147,233,13.71,1,,,,,,,,,,,,,,,,,,,
19,Hough  Brady,West Coast,15,138,85,88,226,15.07,,,,,,,,,,,,,,,,,,,,
31,Jones  Jamaine,West Coast,13,142,47,84,226,17.38,4,,,,,,,,,,,,,,,,,,,
21,Petruccelle  Jack,West Coast,18,114,46,108,222,12.33,10,,,,,,,,,,,,,,,,,,,
44,Long  Noah,West Coast,19,99,46,111,210,11.05,7,,,,,,,,,,,,,,,,,,,
27,Darling  Jack,West Coast,20,129,80,75,204,10.2,26,,,,,,,,,,,,,,,,,,,
13,Shuey  Luke,West Coast,10,105,20,93,198,19.8,2,,,,,,,,,,,,,,,,,,,
28,Cole  Tom,West Coast,12,108,67,86,194,16.17,1,,,,,,,,,,,,,,,,,,,
8,Hewett  Elijah,West Coast,14,88,28,100,188,13.43,4,,,,,,,,,,,,,,,,,,,
24,ONeill  Xavier,West Coast,15,100,37,82,182,12.13,4,,,,,,,,,,,,,,,,,,,
37,Barrass  Tom,West Coast,14,115,93,66,181,12.93,,,,,,,,,,,,,,,,,,,,
10,Petrevski-Seton  Sam,West Coast,13,94,35,83,177,13.62,3,,,,,,,,,,,,,,,,,,,
6,Yeo  Elliot,West Coast,10,115,34,59,174,17.4,1,,,,,,,,,,,,,,,,,,,
18,Chesser  Campbell,West Coast,14,80,33,83,163,11.64,,,,,,,,,,,,,,,,,,,,
16,Edwards  Luke,West Coast,14,86,42,73,159,11.36,,,,,,,,,,,,,,,,,,,,
2,Waterman  Jake,West Coast,11,112,71,46,158,14.36,11,,,,,,,,,,,,,,,,,,,
15,Cripps  Jamie,West Coast,12,88,40,69,157,13.08,16,,,,,,,,,,,,,,,,,,,
20,McGovern  Jeremy,West Coast,9,110,64,42,152,16.89,,,,,,,,,,,,,,,,,,,,
39,Clark  Greg,West Coast,12,59,31,75,134,11.17,2,,,,,,,,,,,,,,,,,,,
35,Rotham  Josh,West Coast,13,102,68,28,130,10,,,,,,,,,,,,,,,,,,,,
29,Foley  Luke,West Coast,9,72,41,42,114,12.67,,,,,,,,,,,,,,,,,,,,
41,Maric  Ryan,West Coast,10,45,28,55,100,10,9,,,,,,,,,,,,,,,,,,,
33,Bazzo  Rhett,West Coast,11,41,34,54,95,8.64,,,,,,,,,,,,,,,,,,,,
36,West  Connor,West Coast,9,40,16,52,92,10.22,3,,,,,,,,,,,,,,,,,,,
34,Williams  Jack,West Coast,10,35,24,34,69,6.9,5,,,,,,,,,,,,,,,,,,,
49,Culley  Jai,West Coast,5,14,8,28,42,8.4,5,,,,,,,,,,,,,,,,,,,
40,Jamieson  Callum,West Coast,4,14,7,25,39,9.75,,,,,,,,,,,,,,,,,,,,
1,Ryan  Liam,West Coast,3,30,15,9,39,13,4,,,,,,,,,,,,,,,,,,,
26,Trew  Zane,West Coast,4,15,3,21,36,9,1,,,,,,,,,,,,,,,,,,,
42,Edwards  Harry,West Coast,2,12,7,4,16,8,,,,,,,,,,,,,,,,,,,,
30,Barnett  Harry,West Coast,1,,,2,2,2,,,,,,,,,,,,,,,,,,,,
4,Bontempelli  Marcus,Western Bulldogs,23,370,101,266,636,27.65,19,,,,,,,,,,,,,,,,,,,
21,Liberatore  Tom,Western Bulldogs,21,266,59,308,574,27.33,8,,,,,,,,,,,,,,,,,,,
31,Dale  Bailey,Western Bulldogs,23,393,92,180,573,24.91,2,,,,,,,,,,,,,,,,,,,
11,Macrae  Jack,Western Bulldogs,22,239,82,318,557,25.32,7,,,,,,,,,,,,,,,,,,,
1,Treloar  Adam,Western Bulldogs,19,253,54,304,557,29.32,13,,,,,,,,,,,,,,,,,,,
35,Daniel  Caleb,Western Bulldogs,23,295,100,242,537,23.35,10,,,,,,,,,,,,,,,,,,,
6,Smith  Bailey,Western Bulldogs,19,230,62,217,447,23.53,4,,,,,,,,,,,,,,,,,,,
44,English  Tim,Western Bulldogs,23,258,145,182,440,19.13,16,,,,,,,,,,,,,,,,,,,
20,Richards  Ed,Western Bulldogs,19,292,107,111,403,21.21,1,,,,,,,,,,,,,,,,,,,
34,Williams  Bailey,Western Bulldogs,23,215,116,165,380,16.52,11,,,,,,,,,,,,,,,,,,,
33,Naughton  Aaron,Western Bulldogs,23,180,100,87,267,11.61,44,,,,,,,,,,,,,,,,,,,
13,Baker  Oskar,Western Bulldogs,18,191,86,73,264,14.67,6,,,,,,,,,,,,,,,,,,,
2,Ugle-Hagan  Jamarra,Western Bulldogs,23,188,120,73,261,11.35,35,,,,,,,,,,,,,,,,,,,
15,Duryea  Taylor,Western Bulldogs,20,147,84,93,240,12,,,,,,,,,,,,,,,,,,,,
28,Scott  Anthony,Western Bulldogs,22,132,53,105,237,10.77,12,,,,,,,,,,,,,,,,,,,
42,Keath  Alex,Western Bulldogs,18,128,92,89,217,12.06,,,,,,,,,,,,,,,,,,,,
39,Johannisen  Jason,Western Bulldogs,11,150,54,58,208,18.91,5,,,,,,,,,,,,,,,,,,,
7,Lobb  Rory,Western Bulldogs,20,112,65,94,206,10.3,24,,,,,,,,,,,,,,,,,,,
3,Weightman  Cody,Western Bulldogs,19,139,54,59,198,10.42,34,,,,,,,,,,,,,,,,,,,
19,Jones  Liam,Western Bulldogs,18,129,89,37,166,9.22,,,,,,,,,,,,,,,,,,,,
23,Vandermeer  Laitham,Western Bulldogs,11,87,30,60,147,13.36,2,,,,,,,,,,,,,,,,,,,
14,West  Rhylee,Western Bulldogs,12,62,29,75,137,11.42,7,,,,,,,,,,,,,,,,,,,
25,Poulter  Caleb,Western Bulldogs,9,68,24,65,133,14.78,3,,,,,,,,,,,,,,,,,,,
32,Jones  Arthur,Western Bulldogs,13,47,17,52,99,7.62,4,,,,,,,,,,,,,,,,,,,
18,ODonnell  James,Western Bulldogs,12,60,34,39,99,8.25,1,,,,,,,,,,,,,,,,,,,
43,Gardner  Ryan,Western Bulldogs,10,61,36,28,89,8.9,1,,,,,,,,,,,,,,,,,,,
17,Bruce  Josh,Western Bulldogs,8,43,36,40,83,10.38,,,,,,,,,,,,,,,,,,,,
30,McNeil  Lachlan,Western Bulldogs,13,28,12,52,80,6.15,2,,,,,,,,,,,,,,,,,,,
22,OBrien  Tim,Western Bulldogs,7,63,36,17,80,11.43,,,,,,,,,,,,,,,,,,,,
9,Crozier  Hayden,Western Bulldogs,4,36,19,18,54,13.5,,,,,,,,,,,,,,,,,,,,
16,McLean  Toby,Western Bulldogs,6,10,8,39,49,8.17,,,,,,,,,,,,,,,,,,,,
29,Hannan  Mitch,Western Bulldogs,6,29,14,14,43,7.17,3,,,,,,,,,,,,,,,,,,,
38,Garcia  Riley,Western Bulldogs,3,12,2,19,31,10.33,1,,,,,,,,,,,,,,,,,,,
27,McComb  Robbie,Western Bulldogs,3,7,4,6,13,4.33,1,,,,,,,,,,,,,,,,,,,
10,Darcy  Sam,Western Bulldogs,3,7,2,3,10,3.33,,,,,,,,,,,,,,,,,,,,
36,Cleary  Luke,Western Bulldogs,1,5,2,3,8,8,,,,,,,,,,,,,,,,,,,,
24,Khamis  Buku,Western Bulldogs,1,3,1,3,6,6,,,,,,,,,,,,,,,,,,,,
